Causa,Efeito,Tipo_Relacao,Frequencia
evolution,attainment,general,4
fruit and vegetable intake,increase sleep quality,general,4
author,work,general,4
morphological and functional parameter,density,general,4
muscle growth,increase,general,4
physical activity,increase sleep quality,activity_to_sleep,4
restful sleep,increase sleep quality,intra_sleep,4
sleep quality,increase quality,general,4
sleep quality,subjective health,general,4
fruit and vegetable intake,quality,general,3
perceive environmental pollution,poor sleep quality,general,3
physical activity,fruit and vegetable intake,general,3
physical activity,quality,general,3
ﬁber type - speciﬁc difference,high force - gen-,general,2
ﬁber type - speciﬁc difference,low force generate fatigue - resist ﬁber,general,2
ﬁssion,fragmen-,general,2
ﬁssion,tation,general,2
high loading,great force development,general,2
chronic elevation,pathological outcome,general,2
dysregulated ecc,intracellular signal pathway,general,2
heat,atp metabolism,general,2
galntl6 gene rs558129 polymorphism,power performance,general,2
faerch k,multiple transcriptional change,general,2
ganse b,athletic performance,general,2
ganse b,human life span,general,2
ganse u,athletic performance,general,2
ganse u,human life span,general,2
circadian oscillation,physiological psychological and molecular mechanism,general,2
early primary and secondary response gene,process,general,2
circadian variation,performance,general,2
eccrine sweat gland,thermoregulation,general,2
gehrig s,de novo biogenesis,general,2
gehrig s,skeletal muscle mitochon drial volume density,general,2
gender,human pulmonary gas exchange,general,2
elevated fraction,insulin resistance,general,2
coactivator-,exercise - induce regulation,general,2
heat,ca21 release,general,2
coevolution,anticipation,general,2
coevolution,expand cerebello - cerebralcortical circuitry,general,2
gene expression,coordinate spatio - temporal control,general,2
genetic factor,ing response,general,2
genetic factor,interindividual,general,2
endurance,size,general,2
endurance training,athlete,general,2
endurance training,demethylation,general,2
heat,mitochondrial activity,general,2
endurance training,fat mass,general,2
endurance training,numerous metabolic adaptation,general,2
activation,damage,general,2
activation,exertion,general,2
activation,intracellular,general,2
activation,inﬂux,general,2
activation,process,general,2
activation,stability,general,2
active muscle pgc-1a,remodeling process,general,2
endurance training,parameter,general,2
endurance training,randomize clinical trial,general,2
genotype,human elite athletic performance,general,2
