tipo_marcador,lema_marcador,causa,marcador,efeito,direcao,sentenca_original,arquivo_origem
verbo,aumentar,uma relação harmoniosa entre equipe multiprofissional e paciente,aumenta,o envolvimento do paciente na tomada de decisão,Causa -> Efeito,"Por fim, sendo a não adesão um grande entrave no controle da HAS, é importante destacar que uma relação harmoniosa entre equipe multiprofissional e paciente aumenta o envolvimento do paciente na tomada de decisão, colocando-o como protagonista da sua própria doença e, consequentemente, aumenta a adesão .⁹",hipertensao.pdf
verbo,levar,a obesidade,leva,a um envelhecimento mal-sucedido,Causa -> Efeito,Em estudos de Costa et al e Nascente pode-se verificar que a obesidade leva a um envelhecimento mal-sucedido.,hipertensao_principais_fatores.pdf
verbo,reduzir,a atividade física,reduz,a incidência de HAS,Causa -> Efeito,"Quanto ao sedentarismo, Ávila et al referem que a atividade física reduz a incidência de HAS em indivíduos pré-hipertensos além de reduzir a mortalidade e os riscos de desenvolver doenças",hipertensao_principais_fatores.pdf
verbo,provocar,Página 361,provocou,alterações significativas no peso corporal e na distribuição da gordura,Causa -> Efeito,"A mudança nas quantidades de alimentos ingeridos e a composição da dieta, adicionando-se a baixa freqüência da atividade física, provocou alterações significativas no peso corporal e na distribuição da gordura, aumentando a prevalência da obesidade na população.6,9 Enfermería Global Nº 26 Abril 2012 Página 361",hipertensao_principais_fatores.pdf
verbo,contribuir,a restrição de sal acompanhada de hábitos alimentares saudáveis,contribui,para a da pressão arterial,Causa -> Efeito,"O consumo de sal excede os limites máximos recomendados para a sua ingestão em todos os países, em todos os extratos de renda, sabemos que a restrição de sal acompanhada de hábitos alimentares saudáveis contribui para a redução da pressão arterial, podendo levar à redução da medicação anti-hipertensiva.",hipertensao_principais_fatores.pdf
substantivo (causa),fator,", insuficiência renal , acidente vascular cerebral e diversas outras complicações graves que podem levar à incapacidade e morte precoce",fator,de risco significativo,Causa -> Efeito,"A HAS é um fator de risco significativo para doenças cardiovasculares, insuficiência renal, acidente vascular cerebral e diversas outras complicações graves que podem levar à incapacidade e morte precoce.",Hipertensão+Arterial+Sistêmica+Uma+revisão+da+literatura+atual.pdf
verbo,elevar,Situações de estresse,elevam,"a liberação de hormônios como a adrenalina e o cortisol , que podem causar aumentos temporários na pressão arterial e , a longo prazo , contribuir para a hipertensão",Causa -> Efeito,"Situações de estresse elevam a liberação de hormônios como a adrenalina e o cortisol, que podem causar aumentos temporários na pressão arterial e, a longo prazo, contribuir para a hipertensão.",Hipertensão+Arterial+Sistêmica+Uma+revisão+da+literatura+atual.pdf
verbo,reduzir,o objetivo,reduzir,a pressão arterial,Causa -> Efeito,"Na urgência hipertensiva, o objetivo é reduzir a pressão arterial dentro de 24 a 48 horas com medicamentos orais, enquanto se monitoram cuidadosamente os sinais vitais e a função dos órgãos.",Hipertensão+Arterial+Sistêmica+Uma+revisão+da+literatura+atual.pdf
verbo,contribuir,o tabagismo,contribui,para o desenvolvimento e a progressão da hipertensão,Causa -> Efeito,"Cessação do Tabagismo Parar de fumar é crucial, pois o tabagismo contribui para o desenvolvimento e a progressão da hipertensão e aumenta o risco de doenças cardiovasculares.",Hipertensão+Arterial+Sistêmica+Uma+revisão+da+literatura+atual.pdf
substantivo (causa),fator,", insuficiência renal , acidente vascular cerebral e diversas outras complicações graves que podem levar à incapacidade e morte precoce",fator,de risco significativo,Causa -> Efeito,"A HAS é um fator de risco significativo para doenças cardiovasculares, insuficiência renal, acidente vascular cerebral e diversas outras complicações graves que podem levar à incapacidade e morte precoce.",Hipertensão+Arterial+Sistêmica+Uma+revisão+da+literatura+atual.pdf
